ImageID,Latitude,Longitude,Elevation,Neighborhood,Date,OpenAI Score,Walkability Rating,Tags,Description
image_237,47.6091144,-122.3395043,34,Pike-Market,2019-06-01,2,Not at all walkable,"Narrow alley, limited sidewalk space, dumpsters present, no visible pedestrians, urban setting but less appealing","Narrow alley, limited sidewalk space, dumpsters present, no visible pedestrians, urban setting but less appealing. Not at all walkable. 2/10."
image_790,47.5988594,-122.318776,44,International District,2019-06-01,1,Not at all walkable,"Heavy construction, obstructed pathways, fencing around construction site, minimal pedestrian space, no visible amenities or sidewalks, industrial area","Heavy construction, obstructed pathways, fencing around construction site, minimal pedestrian space, no visible amenities or sidewalks, industrial area. Not at all walkable. 1/10."
image_775,47.6209391,-122.3448478,34,South Lake Union,2019-06-01,1,Not at all walkable,"Tunnel environment, no visible sidewalks, vehicles present, lack of pedestrian amenities, no safe crossings visible","Tunnel environment, no visible sidewalks, vehicles present, lack of pedestrian amenities, no safe crossings visible. Not at all walkable. 1/10."
image_1673,47.5979212,-122.3229932,29,International District,2019-05-01,3,Slightly walkable,"Narrow alley, limited pedestrian space, some greenery, potential vehicle traffic, urban environment, minimal appeal due to confined space","Narrow alley, limited pedestrian space, some greenery, potential vehicle traffic, urban environment, minimal appeal due to confined space. Slightly walkable. 3/10."
image_2511,47.6136798,-122.3271328,82,First Hill,2019-05-01,3,Slightly walkable,"Limited visible sidewalk, dense vegetation, parked cars, residential area, no pedestrians visible","Limited visible sidewalk, dense vegetation, parked cars, residential area, no pedestrians visible. Slightly walkable. 3/10."
image_133,47.6175003,-122.3377816,25,Denny Triangle,2019-05-01,4,Slightly walkable,"Limited pedestrian space, no visible sidewalks, nearby construction, urban setting with mixed-use buildings, some greenery, no clear indicators for safety or appeal","Limited pedestrian space, no visible sidewalks, nearby construction, urban setting with mixed-use buildings, some greenery, no clear indicators for safety or appeal. Slightly walkable. 4/10."
image_231,47.6167873,-122.3266819,67,Broadway,2019-05-01,1,Not at all walkable,"Enclosed parking area, no visible sidewalks, overgrown vegetation, no pedestrian access, lack of amenities, no clear pathway","Enclosed parking area, no visible sidewalks, overgrown vegetation, no pedestrian access, lack of amenities, no clear pathway. Not at all walkable. 1/10."
image_35,47.6219695,-122.3177454,106,Broadway,2019-05-01,5,Moderately walkable,"Tree-lined street, designated sidewalks, some vehicle presence, gently sloped terrain, greenery and landscaping, minimal pedestrian activity","Tree-lined street, designated sidewalks, some vehicle presence, gently sloped terrain, greenery and landscaping, minimal pedestrian activity. Moderately walkable. 5/10."
image_97,47.6027246,-122.3243254,75,Yesler Terrace,2019-05-01,1,Not at all walkable,"Heavy vegetation, no visible pathways or sidewalks, steep incline, residential area, limited accessibility, lack of amenities nearby","Heavy vegetation, no visible pathways or sidewalks, steep incline, residential area, limited accessibility, lack of amenities nearby. Not at all walkable. 1/10."
image_45,47.6043014,-122.3203789,102,Yesler Terrace,2019-05-01,2,Not at all walkable,"Limited pedestrian infrastructure, visible parked cars, lack of sidewalks, presence of greenery, slight incline, minimal traffic","Limited pedestrian infrastructure, visible parked cars, lack of sidewalks, presence of greenery, slight incline, minimal traffic. Not at all walkable. 2/10."
image_1265,47.6234326,-122.3187136,107,Broadway,2019-05-01,10,Extremely walkable,"Open green space, well-maintained pathways, trees providing shade, recreational area, gathering spots, no visible obstructions, inviting atmosphere","Open green space, well-maintained pathways, trees providing shade, recreational area, gathering spots, no visible obstructions, inviting atmosphere. Extremely walkable. 10/10."
image_151,47.61167,-122.3470798,21,Belltown,2017-09-01,1,Not at all walkable,"Lack of visible pathway, unclear walking space, proximity to busy road, no pedestrians visible, no sidewalks or crossings shown","Lack of visible pathway, unclear walking space, proximity to busy road, no pedestrians visible, no sidewalks or crossings shown. Not at all walkable. 1/10."
